gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
T100_D__k141_444951__full-cat_2_4	T100_D__k141_444951__full-cat_2							3	MKF
T100_D__k141_444951__full-cat_2_5	T100_D__k141_444951__full-cat_2							3	MKF
T100_D__k141_444951__full-cat_2_11	T100_D__k141_444951__full-cat_2							3	MK
T100_D__k141_444951__full-cat_2_13	T100_D__k141_444951__full-cat_2							3	MK
T100_D__k141_444951__full-cat_2_15	T100_D__k141_444951__full-cat_2							3	MKF
T100_D__k141_444951__full-cat_2_16	T100_D__k141_444951__full-cat_2							3	MKF
T100_D__k141_450762__full-cat_1_3	T100_D__k141_450762__full-cat_1							2	MKF
T100_D__k141_452336__full-cat_1_30	T100_D__k141_452336__full-cat_1							1	MK
T100_D__k141_476766__full-cat_1_10	T100_D__k141_476766__full-cat_1							2	MK
T100_D__k141_485343__full-cat_2_11	T100_D__k141_485343__full-cat_2							3	MK
T100_D__k141_485343__full-cat_2_12	T100_D__k141_485343__full-cat_2							3	MK
T100_D__k141_485343__full-cat_2_19	T100_D__k141_485343__full-cat_2							3	MKF
T100_D__k141_4874__full-cat_2_4	T100_D__k141_4874__full-cat_2							3	MKF
T100_D__k141_4874__full-cat_2_18	T100_D__k141_4874__full-cat_2							3	MK
T100_D__k141_4874__full-cat_2_20	T100_D__k141_4874__full-cat_2							3	MK
T100_D__k141_495386__full-cat_2_4	T100_D__k141_495386__full-cat_2							3	MKF
T100_D__k141_495386__full-cat_2_7	T100_D__k141_495386__full-cat_2							3	MKF
T100_D__k141_495386__full-cat_2_10	T100_D__k141_495386__full-cat_2							3	MK
T100_D__k141_495386__full-cat_2_12	T100_D__k141_495386__full-cat_2							3	MK
T100_D__k141_495386__full-cat_2_19	T100_D__k141_495386__full-cat_2							3	MK
T100_D__k141_495386__full-cat_2_26	T100_D__k141_495386__full-cat_2							3	MKF
T100_D__k141_500602__full-cat_2_5	T100_D__k141_500602__full-cat_2							3	MKF
T100_D__k141_500602__full-cat_2_10	T100_D__k141_500602__full-cat_2							3	MK
T100_D__k141_500602__full-cat_2_11	T100_D__k141_500602__full-cat_2							3	MK
T100_D__k141_534930__full-cat_1_121	T100_D__k141_534930__full-cat_1							1	MKF
T100_D__k141_536701__full-cat_2_22	T100_D__k141_536701__full-cat_2							3	MKF
T100_D__k141_542397__full-cat_1_29	T100_D__k141_542397__full-cat_1							2	MK
T100_D__k141_542397__full-cat_1_33	T100_D__k141_542397__full-cat_1							2	MK
T100_D__k141_550014__full-cat_2_16	T100_D__k141_550014__full-cat_2							3	MK
T100_D__k141_550014__full-cat_2_19	T100_D__k141_550014__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MK
T100_D__k141_550014__full-cat_2_19	T100_D__k141_550014__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MK
T100_D__k141_550014__full-cat_2_19	T100_D__k141_550014__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MK
T100_D__k141_550014__full-cat_2_21	T100_D__k141_550014__full-cat_2							3	MK
T100_D__k141_550014__full-cat_2_24	T100_D__k141_550014__full-cat_2							3	MK
T100_D__k141_550014__full-cat_2_29	T100_D__k141_550014__full-cat_2							3	MK
T100_D__k141_550014__full-cat_2_31	T100_D__k141_550014__full-cat_2							3	MK
T100_D__k141_550014__full-cat_2_33	T100_D__k141_550014__full-cat_2							3	MK
T100_D__k141_550014__full-cat_2_34	T100_D__k141_550014__full-cat_2							3	MK
T100_D__k141_550014__full-cat_2_56	T100_D__k141_550014__full-cat_2							3	MK
T100_D__k141_550014__full-cat_2_66	T100_D__k141_550014__full-cat_2	K02970	small subunit ribosomal protein S21	MISC	Information systems		Ribosome, bacteria	3	M
T100_D__k141_550014__full-cat_2_75	T100_D__k141_550014__full-cat_2							3	MKF
T100_D__k141_564268__full-cat_1_19	T100_D__k141_564268__full-cat_1	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	1	MK
T100_D__k141_564268__full-cat_1_19	T100_D__k141_564268__full-cat_1	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	1	MK
T100_D__k141_564268__full-cat_1_19	T100_D__k141_564268__full-cat_1	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	1	MK
T100_D__k141_564268__full-cat_1_32	T100_D__k141_564268__full-cat_1							1	MK
T100_D__k141_567674__full-cat_1_15	T100_D__k141_567674__full-cat_1							1	MK
T100_D__k141_567674__full-cat_1_16	T100_D__k141_567674__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MKE
T100_D__k141_567674__full-cat_1_22	T100_D__k141_567674__full-cat_1							1	MK
T100_D__k141_567674__full-cat_1_28	T100_D__k141_567674__full-cat_1							1	MK
T100_D__k141_579369__full-cat_1_16	T100_D__k141_579369__full-cat_1							2	MKF
T100_D__k141_581204__full-cat_1_2	T100_D__k141_581204__full-cat_1							2	MKF
T100_D__k141_606491__full-cat_2_17	T100_D__k141_606491__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	M
T100_D__k141_607272__full-cat_1_3	T100_D__k141_607272__full-cat_1							2	MKF
T100_D__k141_607272__full-cat_1_6	T100_D__k141_607272__full-cat_1							2	MKF
T100_D__k141_607272__full-cat_1_7	T100_D__k141_607272__full-cat_1							2	MKF
T100_D__k141_608244__full-cat_1_10	T100_D__k141_608244__full-cat_1							2	MK
T100_D__k141_608534__full-cat_1_10	T100_D__k141_608534__full-cat_1							1	MK
T100_D__k141_608534__full-cat_1_11	T100_D__k141_608534__full-cat_1							1	MK
T100_D__k141_610238__full-cat_2_3	T100_D__k141_610238__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T100_D__k141_610238__full-cat_2_3	T100_D__k141_610238__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MKF
T100_D__k141_610238__full-cat_2_4	T100_D__k141_610238__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T100_D__k141_610238__full-cat_2_4	T100_D__k141_610238__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T100_D__k141_610238__full-cat_2_4	T100_D__k141_610238__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T100_D__k141_610238__full-cat_2_7	T100_D__k141_610238__full-cat_2							3	MKF
T100_D__k141_610238__full-cat_2_8	T100_D__k141_610238__full-cat_2							3	MK
T100_D__k141_610238__full-cat_2_10	T100_D__k141_610238__full-cat_2							3	MK
T100_D__k141_610238__full-cat_2_11	T100_D__k141_610238__full-cat_2							3	MK
T100_D__k141_610238__full-cat_2_17	T100_D__k141_610238__full-cat_2							3	MK
T100_D__k141_610238__full-cat_2_26	T100_D__k141_610238__full-cat_2							3	MKF
T100_D__k141_612872__full-cat_1_4	T100_D__k141_612872__full-cat_1							2	MKF
T100_D__k141_612872__full-cat_1_14	T100_D__k141_612872__full-cat_1							2	MK
T100_D__k141_626287__full-cat_1_17	T100_D__k141_626287__full-cat_1							2	MK
T100_D__k141_626287__full-cat_1_18	T100_D__k141_626287__full-cat_1							2	MK
T100_D__k141_636677__full-cat_1_38	T100_D__k141_636677__full-cat_1							2	MK
T100_D__k141_636677__full-cat_1_39	T100_D__k141_636677__full-cat_1							2	MK
T100_D__k141_636677__full-cat_1_43	T100_D__k141_636677__full-cat_1							2	MK
T100_D__k141_659078__full-cat_2_2	T100_D__k141_659078__full-cat_2							3	MKF
T100_D__k141_659078__full-cat_2_11	T100_D__k141_659078__full-cat_2							3	MK
T100_D__k141_659078__full-cat_2_17	T100_D__k141_659078__full-cat_2							3	MKF
T100_D__k141_659078__full-cat_2_19	T100_D__k141_659078__full-cat_2							3	MKF
T100_D__k141_659078__full-cat_2_20	T100_D__k141_659078__full-cat_2							3	MKF
T100_D__k141_665267__full-cat_1_34	T100_D__k141_665267__full-cat_1							2	MKT
T100_D__k141_668723__full-cat_1_5	T100_D__k141_668723__full-cat_1							2	MKF
T100_D__k141_672256__full-cat_1_14	T100_D__k141_672256__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	M
T100_D__k141_672256__full-cat_1_28	T100_D__k141_672256__full-cat_1							2	MK
T100_D__k141_686409__full-cat_2_11	T100_D__k141_686409__full-cat_2							3	MK
T100_D__k141_719726__full-cat_1_3	T100_D__k141_719726__full-cat_1							2	MKF
T100_D__k141_720205__full-cat_1_2	T100_D__k141_720205__full-cat_1							2	MKF
T100_D__k141_721665__full-cat_2_6	T100_D__k141_721665__full-cat_2	K00860	adenylylsulfate kinase [EC:2.7.1.25] [RN:R00509]	Energy	Sulfur		Assimilatory sulfate reduction, sulfate => H2S	3	M
T100_D__k141_721665__full-cat_2_9	T100_D__k141_721665__full-cat_2							3	MK
T100_D__k141_721665__full-cat_2_10	T100_D__k141_721665__full-cat_2							3	MK
T100_D__k141_730418__full-cat_1_6	T100_D__k141_730418__full-cat_1	K01738	cysteine synthase [EC:2.5.1.47] [RN:R00897]	Organic Nitrogen	Amino Acid		Cysteine biosynthesis, serine => cysteine	2	MKF
T100_D__k141_730418__full-cat_1_32	T100_D__k141_730418__full-cat_1							1	MK
T100_D__k141_731953__full-cat_2_3	T100_D__k141_731953__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T100_D__k141_731953__full-cat_2_3	T100_D__k141_731953__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T100_D__k141_731953__full-cat_2_3	T100_D__k141_731953__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T100_D__k141_731953__full-cat_2_4	T100_D__k141_731953__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T100_D__k141_731953__full-cat_2_4	T100_D__k141_731953__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MKF
T100_D__k141_731953__full-cat_2_28	T100_D__k141_731953__full-cat_2							3	MKF
T100_D__k141_745569__full-cat_1_15	T100_D__k141_745569__full-cat_1							2	MK
T100_D__k141_745569__full-cat_1_16	T100_D__k141_745569__full-cat_1							2	MK
T100_D__k141_779069__full-cat_1_29	T100_D__k141_779069__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T100_D__k141_779069__full-cat_1_30	T100_D__k141_779069__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T100_D__k141_78638__full-cat_1_3	T100_D__k141_78638__full-cat_1							1	MKF
T100_D__k141_78638__full-cat_1_5	T100_D__k141_78638__full-cat_1							1	MKF
T100_D__k141_804071__full-cat_1_37	T100_D__k141_804071__full-cat_1	K00560	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MF
T100_D__k141_806638__full-cat_2_3	T100_D__k141_806638__full-cat_2							3	MKF
T100_D__k141_806638__full-cat_2_5	T100_D__k141_806638__full-cat_2							3	MKF
T100_D__k141_806638__full-cat_2_20	T100_D__k141_806638__full-cat_2							3	MK
T100_D__k141_806638__full-cat_2_23	T100_D__k141_806638__full-cat_2							3	MK
T100_D__k141_806638__full-cat_2_28	T100_D__k141_806638__full-cat_2	K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] [RN:R04463]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	3	MKF
T100_D__k141_80989__full-cat_1_11	T100_D__k141_80989__full-cat_1							2	MKF
T100_D__k141_817504__full-cat_2_12	T100_D__k141_817504__full-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T100_D__k141_817504__full-cat_2_15	T100_D__k141_817504__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T100_D__k141_825525__full-cat_1_26	T100_D__k141_825525__full-cat_1							2	MKF
T100_D__k141_846328__full-cat_1_4	T100_D__k141_846328__full-cat_1							1	MK
T100_D__k141_847704__full-cat_1_5	T100_D__k141_847704__full-cat_1							2	MKF
T100_D__k141_847704__full-cat_1_8	T100_D__k141_847704__full-cat_1							2	MK
T100_D__k141_847704__full-cat_1_13	T100_D__k141_847704__full-cat_1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	M
T100_D__k141_847704__full-cat_1_15	T100_D__k141_847704__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T100_D__k141_847704__full-cat_1_20	T100_D__k141_847704__full-cat_1							2	MK
T100_D__k141_860410__full-cat_2_3	T100_D__k141_860410__full-cat_2							3	MKF
T100_D__k141_860410__full-cat_2_8	T100_D__k141_860410__full-cat_2							3	MK
T100_D__k141_860410__full-cat_2_13	T100_D__k141_860410__full-cat_2							3	MK
T100_D__k141_860410__full-cat_2_19	T100_D__k141_860410__full-cat_2	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	MF
T100_D__k141_871326__full-cat_1_10	T100_D__k141_871326__full-cat_1							3	MK
T100_D__k141_872355__full-cat_1_4	T100_D__k141_872355__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
T100_D__k141_903973__full-cat_1_12	T100_D__k141_903973__full-cat_1							1	MKF
T100_D__k141_908687__full-cat_1_11	T100_D__k141_908687__full-cat_1							2	MK
T100_D__k141_914566__full-cat_1_3	T100_D__k141_914566__full-cat_1							2	MKF
T100_D__k141_918815__full-cat_2_11	T100_D__k141_918815__full-cat_2							3	MK
T100_D__k141_918815__full-cat_2_26	T100_D__k141_918815__full-cat_2	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	3	M
T100_D__k141_918815__full-cat_2_32	T100_D__k141_918815__full-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T100_D__k141_918815__full-cat_2_33	T100_D__k141_918815__full-cat_2							3	MKE
T100_D__k141_91967__full-cat_1_18	T100_D__k141_91967__full-cat_1							2	MKF
T100_D__k141_94493__full-cat_2_16	T100_D__k141_94493__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T100_D__k141_959488__full-cat_1_55	T100_D__k141_959488__full-cat_1							1	MKF
T100_S__k141_157605__full-cat_1_6	T100_S__k141_157605__full-cat_1							2	MKF
T100_S__k141_161398__full-cat_1_23	T100_S__k141_161398__full-cat_1							2	MK
T100_S__k141_168911__full-cat_1_2	T100_S__k141_168911__full-cat_1							2	MKF
T100_S__k141_199178__full-cat_1_6	T100_S__k141_199178__full-cat_1							1	MK
T100_S__k141_205998__full-cat_1_33	T100_S__k141_205998__full-cat_1							2	MKF
T100_S__k141_263332__full-cat_1_16	T100_S__k141_263332__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
T100_S__k141_265877__full-cat_1_45	T100_S__k141_265877__full-cat_1							2	MK
T100_S__k141_265877__full-cat_1_46	T100_S__k141_265877__full-cat_1							2	MK
T100_S__k141_267813__full-cat_1_37	T100_S__k141_267813__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
T100_S__k141_322301__full-cat_2_9	T100_S__k141_322301__full-cat_2							3	MK
T100_S__k141_322301__full-cat_2_10	T100_S__k141_322301__full-cat_2							3	MK
T100_S__k141_323256__full-cat_1_3	T100_S__k141_323256__full-cat_1							1	MKEF
T100_S__k141_375717__full-cat_2_9	T100_S__k141_375717__full-cat_2							3	MK
T100_S__k141_375717__full-cat_2_15	T100_S__k141_375717__full-cat_2	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9] [RN:R03243]	Organic Nitrogen	Amino Acid		Histidine biosynthesis, PRPP => histidine	3	MKF
T100_S__k141_418850__full-cat_2_2	T100_S__k141_418850__full-cat_2							3	MKF
T100_S__k141_418850__full-cat_2_4	T100_S__k141_418850__full-cat_2							3	MKF
T100_S__k141_418850__full-cat_2_9	T100_S__k141_418850__full-cat_2							3	MKF
T100_S__k141_424196__full-cat_1_20	T100_S__k141_424196__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T100_S__k141_424196__full-cat_1_23	T100_S__k141_424196__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T100_S__k141_432432__full-cat_1_6	T100_S__k141_432432__full-cat_1							2	MKF
T100_S__k141_432432__full-cat_1_7	T100_S__k141_432432__full-cat_1							2	MKF
T100_S__k141_432432__full-cat_1_11	T100_S__k141_432432__full-cat_1							2	MK
T100_S__k141_432432__full-cat_1_16	T100_S__k141_432432__full-cat_1							2	MKF
T100_S__k141_476884__full-cat_1_12	T100_S__k141_476884__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MF
T100_S__k141_484902__full-cat_1_7	T100_S__k141_484902__full-cat_1							2	MK
T100_S__k141_484902__full-cat_1_10	T100_S__k141_484902__full-cat_1							2	MK
T100_S__k141_484902__full-cat_1_11	T100_S__k141_484902__full-cat_1							2	MK
T100_S__k141_484902__full-cat_1_13	T100_S__k141_484902__full-cat_1							2	MK
T100_S__k141_501868__full-cat_1_7	T100_S__k141_501868__full-cat_1							1	MKF
T100_S__k141_501868__full-cat_1_12	T100_S__k141_501868__full-cat_1							1	MK
T100_S__k141_501868__full-cat_1_13	T100_S__k141_501868__full-cat_1							1	MK
T100_S__k141_520975__full-cat_1_7	T100_S__k141_520975__full-cat_1							2	MKF
T100_S__k141_520975__full-cat_1_8	T100_S__k141_520975__full-cat_1							2	MKF
T100_S__k141_520975__full-cat_1_11	T100_S__k141_520975__full-cat_1							2	MK
T100_S__k141_520975__full-cat_1_17	T100_S__k141_520975__full-cat_1							2	MKF
T100_S__k141_531923__full-cat_1_14	T100_S__k141_531923__full-cat_1							1	MK
T100_S__k141_531923__full-cat_1_15	T100_S__k141_531923__full-cat_1							1	MK
T100_S__k141_531923__full-cat_1_17	T100_S__k141_531923__full-cat_1							1	MK
T100_S__k141_531923__full-cat_1_18	T100_S__k141_531923__full-cat_1							1	MK
T100_S__k141_531923__full-cat_1_22	T100_S__k141_531923__full-cat_1							1	MK
T100_S__k141_531923__full-cat_1_23	T100_S__k141_531923__full-cat_1							1	MK
T100_S__k141_531923__full-cat_1_27	T100_S__k141_531923__full-cat_1							1	MK
T100_S__k141_531923__full-cat_1_29	T100_S__k141_531923__full-cat_1							1	MK
T100_S__k141_55845__full-cat_1_9	T100_S__k141_55845__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	M
